# DSS .data file
#   File      name: ( F:\Altair\trambulina\rpt\opt_1\opt_1_runsummary.data )
#   Date generated: ( 2020-12-17 21:22:16  )
#   On      system: ( Windows [Version 10.0.18362] (64 bit) )
# 
#   Generator  ver: ( HyperStudy2020.1.0.26 - py-c-011 1948507 )
#   Schema     ver: ( 2020.1.0.26 )
#
# HstMeta hstCategoryIds    = "5203","5401","5501","0202","0202","0202","0202","0202","2202","2202","2202","2202","2202","2402","2402","2402","2502","2502","2502"
# HstMeta hstLabels         = "RowLabel","StepMajor","StepMinor","tf [mm]","tc [mm]","L [m]","Skin Material","Core Material","Delta Displacement","Delta Tau_c","Delta Sigma_f","Cost","Mass","Skin Stress","Displacement","Core Stress","Cost","Max Displacement","Mass"
# HstMeta hstVarnames       = "RowLabel","StepMajor","StepMinor","tf","tc","L","skin_mat","core_mat","r_1","r_2","r_3","r_4","r_5","goal_2","goal_3","goal_4","goal_6","goal_7","goal_8"
#
v11.0	1000	5203	5401	5501	0202	0202	0202	0202	0202	2202	2202	2202	2202	2202	2402	2402	2402	2502	2502	2502
RowLabel	StepMajor	StepMinor	tf	tc	L	skin_mat	core_mat	r_1	r_2	r_3	r_4	r_5	goal_2	goal_3	goal_4	goal_6	goal_7	goal_8
Row_0069	032	002	 2.8105631	 40.292656	 1.0549505	 1.0000000	 0.0000000	 284.84002	 0.0513900	 14.380470	 13.260000	 9.2807000	 14.380470	 284.84002	 0.0513900	 13.260000	 284.84002	 9.2807000
Row_0070	033	001	 0.1095789	 419.61524	 1.0000220	 3.0000000	 0.0000000	 292.42947	 0.1024500	 136.03319	 88.680000	 12.753080	 136.03319	 292.42947	 0.1024500	 88.680000	 292.42947	 12.753080
Row_0071	033	002	 4.0828436	 45.085939	 1.0371115	 1.0000000	 0.0000000	 288.44649	 0.0599300	 24.801000	 16.420000	 12.835530	 24.801000	 288.44649	 0.0599300	 16.420000	 288.44649	 12.835530
Row_0072	034	001	 4.9597120	 103.76640	 2.9017600	 3.0000000	 3.0000000	 281.52384	 0.5721900	 184.16882	 2329.2400	 51.698350	 184.16882	 281.52384	 0.5721900	 2329.2400	 281.52384	 51.698350
Row_0073	034	002	 4.1835520	 454.21440	 1.1449600	 3.0000000	 2.0000000	 293.99674	 0.3129700	 198.24351	 1014.2500	 40.988720	 198.24351	 293.99674	 0.3129700	 1014.2500	 293.99674	 40.988720
Row_0074	035	001	 0.1000983	 362.00443	 1.0036982	 0.0000000	 3.0000000	 293.35373	 0.5779000	-21.466270	 727.00000	 37.118050	-21.466270	 293.35373	 0.5779000	 727.00000	 293.35373	 37.118050
Row_0075	035	002	 3.5113908	 353.69276	 1.0260348	 1.0000000	 1.0000000	 293.91175	 0.2312100	 37.593390	 188.26000	 27.872510	 37.593390	 293.91175	 0.2312100	 188.26000	 293.91175	 27.872510
Row_0076	036	001	 1.1190017	 76.381499	 2.0871668	 0.0000000	 0.0000000	 277.70720	 0.0817000	-10.805200	 35.980000	 22.999870	-10.805200	 277.70720	 0.0817000	 35.980000	 277.70720	 22.999870
Row_0077	036	002	 4.2098743	 22.566339	 1.0251274	 1.0000000	 0.0000000	 279.88418	 0.0099300	 13.245120	 12.320000	 12.346300	 13.245120	 279.88418	 0.0099300	 12.320000	 279.88418	 12.346300
Row_0078	037	001	 4.7379520	 273.89440	 3.2569600	 0.0000000	 2.0000000	 292.58163	 0.3092600	 52.741740	 801.94000	 178.34835	 52.741740	 292.58163	 0.3092600	 801.94000	 292.58163	 178.34835
Row_0079	037	002	 9.5849920	 475.38240	 3.6361600	 2.0000000	 2.0000000	 291.64807	 0.3130100	 77.698660	 1683.7000	 168.12091	 77.698660	 291.64807	 0.3130100	 1683.7000	 291.64807	 168.12091
Row_0080	038	001	 0.1149374	 10.004154	 2.6466174	 0.0000000	 0.0000000	-14810.526	-0.1740900	-6634.5420	 5.7200000	 3.1671000	-6634.5420	-14810.526	-0.1740900	 5.7200000	-14810.526	 3.1671000
Row_0081	038	002	 0.1490966	 15.592945	 3.1938473	 0.0000000	 1.0000000	-8157.4394	 0.0486300	-3943.2968	 26.390000	 6.2044600	-3943.2968	-8157.4394	 0.0486300	 26.390000	-8157.4394	 6.2044600
Row_0082	039	001	 0.2986087	 57.349932	 1.0132665	 1.0000000	 1.0000000	 263.47282	 0.1823500	-133.17072	 29.630000	 3.7224900	-133.17072	 263.47282	 0.1823500	 29.630000	 263.47282	 3.7224900
Row_0083	039	002	 0.3331767	 84.195655	 1.3126639	 2.0000000	 0.0000000	 198.95830	 0.0731500	-57.123030	 22.690000	 4.0153700	-57.123030	 198.95830	 0.0731500	 22.690000	 198.95830	 4.0153700
Row_0084	040	001	 0.1006336	 78.113920	 3.7761280	 3.0000000	 0.0000000	-2162.9525	 0.0709300	-1211.4771	 98.690000	 9.4190400	-1211.4771	-2162.9525	 0.0709300	 98.690000	-2162.9525	 9.4190400
Row_0085	040	002	 4.9318336	 46.753920	 3.7521281	 2.0000000	 1.0000000	-104.07648	 0.1819200	 36.694720	 206.14000	 38.379130	 36.694720	-104.07648	 0.1819200	 206.14000	-104.07648	 38.379130
Row_0086	041	001	 5.7070463	 66.050463	 1.0056294	 1.0000000	 1.0000000	 292.23113	 0.1987000	 32.775610	 44.060000	 18.816900	 32.775610	 292.23113	 0.1987000	 44.060000	 292.23113	 18.816900
Row_0087	041	002	 2.9560343	 85.388379	 1.0025880	 1.0000000	 0.0000000	 291.50873	 0.0863300	 28.705230	 21.010000	 10.570240	 28.705230	 291.50873	 0.0863300	 21.010000	 291.50873	 10.570240
Row_0088	042	001	 0.1157827	 139.65349	 1.0086201	 0.0000000	 0.0000000	 288.89495	 0.0955500	-123.36830	 25.720000	 5.1365900	-123.36830	 288.89495	 0.0955500	 25.720000	 288.89495	 5.1365900
Row_0089	042	002	 0.3518178	 114.85227	 1.0606448	 1.0000000	 0.0000000	 285.81230	 0.0912000	-36.987730	 22.630000	 4.6620200	-36.987730	 285.81230	 0.0912000	 22.630000	 285.81230	 4.6620200
Row_0090	043	001	 8.8284736	 487.36192	 3.9393280	 0.0000000	 2.0000000	 293.44231	 0.3139700	 57.354360	 1730.8100	 396.06257	 57.354360	 293.44231	 0.3139700	 1730.8100	 293.44231	 396.06257
Row_0091	043	002	 9.4620736	 491.28192	 2.0673281	 2.0000000	 1.0000000	 293.52070	 0.2334100	 78.716340	 633.01000	 82.080050	 78.716340	 293.52070	 0.2334100	 633.01000	 293.52070	 82.080050
Row_0092	044	001	 5.7323204	 24.314209	 1.0048125	 0.0000000	 2.0000000	 290.63000	 0.2219800	 42.836690	 38.620000	 46.515190	 42.836690	 290.63000	 0.2219800	 38.620000	 290.63000	 46.515190
Row_0093	044	002	 2.9473039	 69.986134	 1.0179937	 2.0000000	 0.0000000	 285.80946	 0.0784000	 66.067330	 32.030000	 6.9378700	 66.067330	 285.80946	 0.0784000	 32.030000	 285.80946	 6.9378700
Row_0094	045	001	 0.2404409	 185.52283	 1.0000001	 3.0000000	 0.0000000	 290.10359	 0.0993700	 134.13187	 62.250000	 5.9263400	 134.13187	 290.10359	 0.0993700	 62.250000	 290.10359	 5.9263400
Row_0095	045	002	 0.2430304	 148.42955	 1.0000556	 2.0000000	 0.0000000	 275.04243	 0.0836200	-1.4286500	 28.270000	 4.8420300	-1.4286500	 275.04243	 0.0836200	 28.270000	 275.04243	 4.8420300
Row_0096	046	001	 6.3099136	 214.52992	 2.8305280	 1.0000000	 3.0000000	 291.64629	 0.5860700	 34.024020	 1248.2200	 108.94639	 34.024020	 291.64629	 0.5860700	 1248.2200	 291.64629	 108.94639
Row_0097	046	002	 8.2265536	 459.13792	 3.6177281	 0.0000000	 0.0000000	 292.93048	 0.1136600	 57.231750	 391.84000	 281.97032	 57.231750	 292.93048	 0.1136600	 391.84000	 292.93048	 281.97032
Row_0098	047	001	 0.6556543	 99.204464	 1.0082492	 2.0000000	 0.0000000	 277.48480	 0.0844500	 34.695010	 22.230000	 4.0583800	 34.695010	 277.48480	 0.0844500	 22.230000	 277.48480	 4.0583800
Row_0099	047	002	 7.4392034	 87.122258	 1.0120869	 0.0000000	 1.0000000	 293.28695	 0.2088100	 55.767270	 67.580000	 63.136070	 55.767270	 293.28695	 0.2088100	 67.580000	 293.28695	 63.136070
Row_0100	048	001	 2.4624166	 42.608486	 1.0138858	 1.0000000	 0.0000000	 285.51752	 0.0543100	 13.123400	 12.490000	 8.0368900	 13.123400	 285.51752	 0.0543100	 12.490000	 285.51752	 8.0368900
Row_0101	048	002	 2.6760692	 42.898929	 1.0133383	 1.0000000	 0.0000000	 286.15546	 0.0550600	 15.555960	 12.950000	 8.6259100	 15.555960	 286.15546	 0.0550600	 12.950000	 286.15546	 8.6259100
